billno,chamber,member,vote,points,good or bad bill?,Y or N,cmte vote,slug,cmte name,vote URL,main URL
HB7115,House,Clemons,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,DiCeglie,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Drake,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,DuBose,Committee Yes,0,bad,-,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Good,Committee Yes,0,bad,-,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Grall,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Hart,Committee No,3,bad,N,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Hattersley,Committee No,3,bad,N,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Ingoglia,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Latvala,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,McClain,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,McClure,Committee Yes,0,bad,-,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Newton,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Payne,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Pigman,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Plakon,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Polsky,Committee No,3,bad,N,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Raschein,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,"Rodriguez, A.",Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Roth,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Slosberg,Committee Yes,0,bad,-,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,"Smith, C.",Committee No,3,bad,N,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,Trumbull,Committee Yes,-3,bad,Y,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
HB7115,House,"Watson, C.",Committee No,3,bad,N,cmte vote,HB7115State Affairs Committee,State Affairs Committee,https://www.myfloridahouse.gov/Sections/Committees/billvote.aspx?VoteId=51676&IsPCB=1&BillId=66324&SessionId=87,https://www.myfloridahouse.gov/Sections/Bills/billsdetail.aspx?BillId=66324&SessionId=87
